,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject153,1.441702022,1.360408087,1.435833594,1.425190695,1.557414087,1.445090516,1.502753762,1.280646724,1.182978029,1.124703632,1.283629709,1.484432088,1.425457078,1.313108248,1.543934828,1.401892618,1.398429012,1.469514675,1.381351962,1.565638265,1.439595445,1.355119892,1.061788792,1.256902262,1.389983289,1.613336865,1.682563215,1.713829642,1.858385679,1.895597866,1.697782541,1.621104951,1.490194236,1.450963799,1.464706386,1.360195081,1.587313328,1.600905296,1.539346201,1.483590578,1.388748428,1.486316675,1.241388464,1.247943674,1.360072783,1.379805664,1.09205974,1.197525786,1.036984593,1.191202263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject154,1.125306535,0.982669216,1.096750752,1.082103513,1.071346289,1.103838482,1.095743154,0.890578616,1.02425248,0.832815751,0.845105342,1.205757681,1.249711607,1.019801857,1.120997333,0.991774474,0.937702203,1.155602808,1.05476711,1.19356161,1.152679908,1.132030687,0.897330937,1.107857933,1.149409963,1.366949324,1.36534561,1.447010992,1.479153578,1.726404193,1.113278519,1.215068921,0.873180057,0.834718638,0.812906469,0.798019496,1.165420699,1.219084245,1.124469728,1.158666461,1.12562942,1.172665071,1.121463022,1.243094845,1.256865299,1.242664829,0.845385974,0.946936451,1.000419993,1.054681447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject155,1.254098251,1.426234851,1.364207868,1.348257727,1.540796201,1.413783152,1.552538971,1.339913509,1.265485814,1.255477561,1.280884772,1.619449693,1.533712695,1.407848289,1.646780612,1.450108366,1.358135763,1.614803336,1.450515378,1.566009128,1.364751147,1.520313241,1.292630078,1.398103534,1.604721921,1.765494478,1.859220977,1.917905234,1.750491901,1.665395678,1.305326069,1.333170563,1.326308333,1.195615325,1.006914412,0.792769855,1.475609854,1.488631212,1.307858034,1.441732406,1.298426756,1.422405886,1.256109994,1.471077323,1.510412917,1.406343013,1.147326076,1.177044847,0.855856177,1.063578475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject156,1.160842122,1.087702647,1.215769147,1.202859176,1.233401007,1.234112221,1.264032925,1.243036125,1.143378233,1.001450723,1.063320552,1.399818433,1.385554231,1.072062257,1.190614552,1.21439279,1.130589222,1.358976037,1.188851874,1.245149034,1.18999055,1.214912804,1.022459595,1.125341846,1.120687091,1.288998349,1.259959246,1.300286336,1.341076533,1.353694787,1.337948445,1.274262653,1.206322192,1.124716535,1.254949956,1.175332569,1.282411131,1.227453395,1.245244284,1.140636356,1.142966765,1.179743414,1.097794807,1.198214345,1.27775609,1.234866843,0.955371044,0.992369521,0.968528361,1.051356766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject157,1.482916375,1.366371296,1.489773419,1.555155437,1.497538462,1.453122341,1.567800862,1.209071502,1.391719291,1.085143938,1.254084457,1.839620028,1.768364183,1.549531501,1.732049345,1.169141217,1.391975192,1.551622023,1.641428156,1.692921896,1.4952204,1.483483095,1.215801404,1.273749014,1.503886969,1.758339782,1.612851924,1.666652946,1.718781868,1.662207834,1.531300696,1.288707622,1.186584362,1.128096142,1.062193587,0.910510678,1.36981063,1.385107515,1.440131226,1.432402106,1.356499475,1.286479825,1.406996714,1.339716292,1.418703128,1.289438156,1.272188275,1.282359222,0.979616183,0.935600293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject158,1.632458157,1.532340324,1.503186476,1.269322576,1.69244809,1.485407921,0.993240968,1.444916277,1.404108466,1.244875316,1.251987997,1.430639532,1.243523822,1.346302443,1.2946653,1.562988636,1.40066656,1.39180359,1.341270435,1.329058224,1.646278442,1.466413208,1.194927421,1.214573102,1.586529912,1.625590971,1.7345821,1.727036942,2.056839555,2.10186744,1.834935108,1.694948679,1.540508678,1.373639485,1.303239289,1.187801533,1.511805863,1.585107346,1.768169006,1.514855106,1.514205719,1.428051843,1.63628582,1.381193444,1.605081547,1.508020635,1.191167239,1.163797334,1.178331263,1.236434494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject159,1.450695609,1.355762828,1.422394154,1.318226053,1.525890125,1.413524462,1.291414917,1.217905005,1.250917746,1.093081047,1.168229903,1.501714981,1.470334929,1.409136474,1.584695359,1.345808154,1.332852888,1.395127378,1.429661737,1.561987618,1.61946516,1.47522337,1.058540352,1.233835024,1.549699736,1.83460084,1.622391751,1.634238911,1.963280025,2.187000867,1.47882898,1.318049484,1.328321777,1.260274204,1.041550317,0.893961852,1.27730171,1.388097264,1.413281826,1.436302789,1.319768759,1.39923126,1.286361774,1.404903066,1.426382508,1.354309676,1.361628964,1.408844537,1.246379478,1.29805885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject160,1.778592744,1.726554558,1.854688721,1.782106884,1.82610297,1.659821787,1.976992476,1.594665998,1.732750468,1.729742437,1.608303681,2.160426478,2.126838335,1.989992026,1.963683635,1.768724298,1.78581159,1.937156676,2.14460682,2.188206274,1.90973099,1.695528421,1.524107858,1.56941651,2.01904409,1.934579799,2.208170909,2.2122644,2.465811482,2.308034285,2.083462721,1.926789294,1.939331517,1.799643455,1.647931836,1.490925735,1.939396086,2.070055677,1.962708231,1.852690367,1.747236369,1.775388473,1.902706522,1.687487636,1.720578754,1.795823627,1.780876213,1.763863727,1.387562973,1.380440357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject161,1.510709043,1.485938704,1.375214401,1.317212467,1.521309667,1.408914626,1.495710716,1.468039662,1.450212549,1.41699405,1.33494407,1.549989115,1.531080401,1.587122349,1.533711829,1.573113758,1.539222559,1.486373759,1.576238002,1.619725815,1.376147683,1.381920863,1.447448057,1.429033238,1.561506092,1.593469546,1.674115306,1.704884075,1.745704182,1.710310752,1.451889289,1.43341003,1.477063246,1.418757808,1.253013959,1.049788843,1.501625734,1.626581346,1.515449375,1.47568474,1.595831554,1.734862347,1.260700051,1.272083873,1.662656335,1.887865459,1.220982272,1.202281466,1.051923693,1.10569149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject162,1.357467183,1.238396268,1.197630322,1.156259604,1.324213497,1.20032547,1.155491598,1.152881853,1.180329613,1.023694255,1.051982153,1.333403656,1.290142319,1.127146685,1.194588551,1.211653586,1.154050234,1.262476681,1.278004198,1.273546244,1.47570628,1.330815556,1.185171944,1.315310648,1.35534529,1.473562897,1.450573707,1.504162737,1.719319748,1.886534867,1.396766582,1.247999169,1.315480577,1.201871642,1.050024988,0.964109343,1.268888307,1.317303772,1.393653446,1.289383518,1.285514752,1.329360852,1.35512275,1.275303077,1.379799659,1.403527189,1.04702936,1.139272972,1.162956271,1.217320398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject163,1.188181404,1.168251757,1.220186381,1.130187662,1.190035109,1.187571202,1.128512815,1.119392257,1.118570529,1.021979497,1.026815132,1.332019464,1.275492364,1.269013416,1.362062637,1.180045471,1.1169579,1.241824362,1.290629039,1.338507384,1.204235962,1.18613486,1.026642452,1.12520933,1.304139172,1.443851545,1.286036229,1.366239558,1.410611363,1.440093173,1.301917887,1.184285879,1.137970738,0.96164273,0.949595502,0.72886327,1.160598254,1.184153469,1.189727113,1.149001286,1.161768966,1.157196665,1.167759968,1.226177947,1.071135487,1.046778698,1.141873871,1.214843612,0.998458492,1.039701739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject164,1.402937684,1.229884328,1.377613872,1.354653733,1.403659913,1.370380995,1.266926223,1.209679235,1.158857725,1.057845309,1.133912095,1.394250421,1.325267409,1.090331994,1.294090663,1.320827293,1.261476823,1.309246937,1.171565071,1.343506627,1.391962713,1.419682653,1.087645415,1.180814573,1.369513014,1.64267809,1.337310043,1.452986255,1.633281035,1.860937687,1.367929462,1.258801491,1.217865021,1.120017685,1.187063673,0.928129222,1.136251173,1.248260893,1.386514501,1.350142437,1.179174097,1.285844609,1.191970639,1.183222659,1.26708797,1.336380925,1.07844004,1.152804037,1.108884084,1.169103342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject165,1.934331759,1.654431345,1.785211832,1.596890475,1.731659522,1.473009695,1.709022754,1.469462718,1.472970318,1.561557585,1.55661041,1.829351577,1.785696506,1.766430053,1.826846467,1.460454331,1.472778901,1.867919282,1.783413196,1.823955829,2.007951011,1.806288221,1.652456396,1.664317853,2.057111416,2.121156592,2.230763866,2.171028215,2.106996741,2.191695715,1.608558126,1.837780729,1.628998347,1.53109166,1.185740927,0.960199863,1.61175865,1.70216142,2.069516983,1.850322907,1.594878553,1.593913801,1.796718074,1.604393025,1.606404675,1.362073545,1.383926822,1.523812131,1.061083817,1.209486038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject166,1.470412181,1.342555861,1.34819986,1.252898919,1.337454356,1.350678669,1.225710684,1.224245282,1.165076294,0.993955258,1.120975859,1.469971169,1.378008207,1.21279723,1.473928862,1.203885608,1.18692008,1.293312348,1.35411026,1.473303035,1.484313995,1.373354628,1.037266177,1.225315427,1.366874004,1.6443244,1.43521919,1.605171947,1.916717265,2.03480623,1.43458684,1.301361603,1.271188111,1.194409386,1.063737225,0.936500205,1.211277544,1.308338242,1.360399858,1.351007571,1.315167496,1.372914291,1.434764142,1.323695554,1.427767429,1.420933493,1.235355339,1.350369751,1.237600675,1.328745721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
